exercise_name,exercise_enum_int,exercise_category,exercise_category_enum_int
alternating_dumbbell_chest_press_on_swiss_ball,0,bench_press,0
barbell_bench_press,1,bench_press,0
barbell_board_bench_press,2,bench_press,0
barbell_floor_press,3,bench_press,0
close_grip_barbell_bench_press,4,bench_press,0
decline_dumbbell_bench_press,5,bench_press,0
dumbbell_bench_press,6,bench_press,0
dumbbell_floor_press,7,bench_press,0
incline_barbell_bench_press,8,bench_press,0
incline_dumbbell_bench_press,9,bench_press,0
incline_smith_machine_bench_press,10,bench_press,0
isometric_barbell_bench_press,11,bench_press,0
kettlebell_chest_press,12,bench_press,0
neutral_grip_dumbbell_bench_press,13,bench_press,0
neutral_grip_dumbbell_incline_bench_press,14,bench_press,0
one_arm_floor_press,15,bench_press,0
weighted_one_arm_floor_press,16,bench_press,0
partial_lockout,17,bench_press,0
reverse_grip_barbell_bench_press,18,bench_press,0
reverse_grip_incline_bench_press,19,bench_press,0
single_arm_cable_chest_press,20,bench_press,0
single_arm_dumbbell_bench_press,21,bench_press,0
smith_machine_bench_press,22,bench_press,0
swiss_ball_dumbbell_chest_press,23,bench_press,0
triple_stop_barbell_bench_press,24,bench_press,0
wide_grip_barbell_bench_press,25,bench_press,0
alternating_dumbbell_chest_press,26,bench_press,0
3_way_calf_raise,0,calf_raise,1
3_way_weighted_calf_raise,1,calf_raise,1
3_way_single_leg_calf_raise,2,calf_raise,1
3_way_weighted_single_leg_calf_raise,3,calf_raise,1
donkey_calf_raise,4,calf_raise,1
weighted_donkey_calf_raise,5,calf_raise,1
seated_calf_raise,6,calf_raise,1
weighted_seated_calf_raise,7,calf_raise,1
seated_dumbbell_toe_raise,8,calf_raise,1
single_leg_bent_knee_calf_raise,9,calf_raise,1
weighted_single_leg_bent_knee_calf_raise,10,calf_raise,1
single_leg_decline_push_up,11,calf_raise,1
single_leg_donkey_calf_raise,12,calf_raise,1
weighted_single_leg_donkey_calf_raise,13,calf_raise,1
single_leg_hip_raise_with_knee_hold,14,calf_raise,1
single_leg_standing_calf_raise,15,calf_raise,1
single_leg_standing_dumbbell_calf_raise,16,calf_raise,1
standing_barbell_calf_raise,17,calf_raise,1
standing_calf_raise,18,calf_raise,1
weighted_standing_calf_raise,19,calf_raise,1
standing_dumbbell_calf_raise,20,calf_raise,1
bob_and_weave_circle,0,cardio,2
weighted_bob_and_weave_circle,1,cardio,2
cardio_core_crawl,2,cardio,2
weighted_cardio_core_crawl,3,cardio,2
double_under,4,cardio,2
weighted_double_under,5,cardio,2
jump_rope,6,cardio,2
weighted_jump_rope,7,cardio,2
jump_rope_crossover,8,cardio,2
weighted_jump_rope_crossover,9,cardio,2
jump_rope_jog,10,cardio,2
weighted_jump_rope_jog,11,cardio,2
jumping_jacks,12,cardio,2
weighted_jumping_jacks,13,cardio,2
ski_moguls,14,cardio,2
weighted_ski_moguls,15,cardio,2
split_jacks,16,cardio,2
weighted_split_jacks,17,cardio,2
squat_jacks,18,cardio,2
weighted_squat_jacks,19,cardio,2
triple_under,20,cardio,2
weighted_triple_under,21,cardio,2
elliptical,22,cardio,2
spinning,23,cardio,2
pole_paddle_forward_wheelchair,24,cardio,2
pole_paddle_backward_wheelchair,25,cardio,2
pole_handcycle_forward_wheelchair,26,cardio,2
pole_handcycle_backward_wheelchair,27,cardio,2
pole_rainbow_wheelchair,28,cardio,2
double_punch_forward_wheelchair,29,cardio,2
double_punch_down_wheelchair,30,cardio,2
double_punch_sideways_wheelchair,31,cardio,2
double_punch_up_wheelchair,32,cardio,2
sit_ski_wheelchair,33,cardio,2
sitting_jacks_wheelchair,34,cardio,2
punch_forward_wheelchair,35,cardio,2
punch_down_wheelchair,36,cardio,2
punch_sideways_wheelchair,37,cardio,2
punch_up_wheelchair,38,cardio,2
punch_bag_wheelchair,39,cardio,2
pole_dd_ff_uu_wheelchair,40,cardio,2
butterfly_arms_wheelchair,41,cardio,2
punch,42,cardio,2
bar_holds,0,carry,3
farmers_walk,1,carry,3
farmers_walk_on_toes,2,carry,3
hex_dumbbell_hold,3,carry,3
overhead_carry,4,carry,3
dumbbell_waiter_carry,5,carry,3
farmers_carry_walk_lunge,6,carry,3
farmers_carry,7,carry,3
farmers_carry_on_toes,8,carry,3
cable_pull_through,0,chop,4
cable_rotational_lift,1,chop,4
cable_woodchop,2,chop,4
cross_chop_to_knee,3,chop,4
weighted_cross_chop_to_knee,4,chop,4
dumbbell_chop,5,chop,4
half_kneeling_rotation,6,chop,4
weighted_half_kneeling_rotation,7,chop,4
half_kneeling_rotational_chop,8,chop,4
half_kneeling_rotational_reverse_chop,9,chop,4
half_kneeling_stability_chop,10,chop,4
half_kneeling_stability_reverse_chop,11,chop,4
kneeling_rotational_chop,12,chop,4
kneeling_rotational_reverse_chop,13,chop,4
kneeling_stability_chop,14,chop,4
kneeling_woodchopper,15,chop,4
medicine_ball_wood_chops,16,chop,4
power_squat_chops,17,chop,4
weighted_power_squat_chops,18,chop,4
standing_rotational_chop,19,chop,4
standing_split_rotational_chop,20,chop,4
standing_split_rotational_reverse_chop,21,chop,4
standing_stability_reverse_chop,22,chop,4
abs_jabs,0,core,5
weighted_abs_jabs,1,core,5
alternating_plate_reach,2,core,5
barbell_rollout,3,core,5
weighted_barbell_rollout,4,core,5
body_bar_oblique_twist,5,core,5
cable_core_press,6,core,5
cable_side_bend,7,core,5
side_bend,8,core,5
weighted_side_bend,9,core,5
crescent_circle,10,core,5
weighted_crescent_circle,11,core,5
cycling_russian_twist,12,core,5
weighted_cycling_russian_twist,13,core,5
elevated_feet_russian_twist,14,core,5
weighted_elevated_feet_russian_twist,15,core,5
half_turkish_get_up,16,core,5
kettlebell_windmill,17,core,5
kneeling_ab_wheel,18,core,5
weighted_kneeling_ab_wheel,19,core,5
modified_front_lever,20,core,5
open_knee_tucks,21,core,5
weighted_open_knee_tucks,22,core,5
side_abs_leg_lift,23,core,5
weighted_side_abs_leg_lift,24,core,5
swiss_ball_jackknife,25,core,5
weighted_swiss_ball_jackknife,26,core,5
swiss_ball_pike,27,core,5
weighted_swiss_ball_pike,28,core,5
swiss_ball_rollout,29,core,5
weighted_swiss_ball_rollout,30,core,5
triangle_hip_press,31,core,5
weighted_triangle_hip_press,32,core,5
trx_suspended_jackknife,33,core,5
weighted_trx_suspended_jackknife,34,core,5
u_boat,35,core,5
weighted_u_boat,36,core,5
windmill_switches,37,core,5
weighted_windmill_switches,38,core,5
alternating_slide_out,39,core,5
weighted_alternating_slide_out,40,core,5
ghd_back_extensions,41,core,5
weighted_ghd_back_extensions,42,core,5
overhead_walk,43,core,5
inchworm,44,core,5
weighted_modified_front_lever,45,core,5
russian_twist,46,core,5
abdominal_leg_rotations,47,core,5
arm_and_leg_extension_on_knees,48,core,5
bicycle,49,core,5
bicep_curl_with_leg_extension,50,core,5
cat_cow,51,core,5
corkscrew,52,core,5
criss_cross,53,core,5
criss_cross_with_ball,54,core,5
double_leg_stretch,55,core,5
knee_folds,56,core,5
lower_lift,57,core,5
neck_pull,58,core,5
pelvic_clocks,59,core,5
roll_over,60,core,5
roll_up,61,core,5
rolling,62,core,5
rowing_1,63,core,5
rowing_2,64,core,5
scissors,65,core,5
single_leg_circles,66,core,5
single_leg_stretch,67,core,5
snake_twist_1_and_2,68,core,5
swan,69,core,5
swimming,70,core,5
teaser,71,core,5
the_hundred,72,core,5
bicep_curl_with_leg_extension_with_weights,73,core,5
hanging_l_sit,75,core,5
lower_lift_with_weights,77,core,5
ring_l_sit,79,core,5
rowing_1_with_weights,80,core,5
rowing_2_with_weights,81,core,5
scissors_with_weights,82,core,5
single_leg_stretch_with_weights,83,core,5
toes_to_elbows,84,core,5
weighted_criss_cross,85,core,5
weighted_double_leg_stretch,86,core,5
weighted_the_hundred,87,core,5
l_sit,88,core,5
turkish_get_up,89,core,5
weighted_ring_l_sit,90,core,5
weighted_hanging_l_sit,91,core,5
weighted_l_sit,92,core,5
side_bend_low_wheelchair,93,core,5
side_bend_mid_wheelchair,94,core,5
side_bend_high_wheelchair,95,core,5
seated_side_bend,96,core,5
bicycle_crunch,0,crunch,6
cable_crunch,1,crunch,6
circular_arm_crunch,2,crunch,6
crossed_arms_crunch,3,crunch,6
weighted_crossed_arms_crunch,4,crunch,6
cross_leg_reverse_crunch,5,crunch,6
weighted_cross_leg_reverse_crunch,6,crunch,6
crunch_chop,7,crunch,6
weighted_crunch_chop,8,crunch,6
double_crunch,9,crunch,6
weighted_double_crunch,10,crunch,6
elbow_to_knee_crunch,11,crunch,6
weighted_elbow_to_knee_crunch,12,crunch,6
flutter_kicks,13,crunch,6
weighted_flutter_kicks,14,crunch,6
foam_roller_reverse_crunch_on_bench,15,crunch,6
weighted_foam_roller_reverse_crunch_on_bench,16,crunch,6
foam_roller_reverse_crunch_with_dumbbell,17,crunch,6
foam_roller_reverse_crunch_with_medicine_ball,18,crunch,6
frog_press,19,crunch,6
hanging_knee_raise_oblique_crunch,20,crunch,6
weighted_hanging_knee_raise_oblique_crunch,21,crunch,6
hip_crossover,22,crunch,6
weighted_hip_crossover,23,crunch,6
hollow_rock,24,crunch,6
weighted_hollow_rock,25,crunch,6
incline_reverse_crunch,26,crunch,6
weighted_incline_reverse_crunch,27,crunch,6
kneeling_cable_crunch,28,crunch,6
kneeling_cross_crunch,29,crunch,6
weighted_kneeling_cross_crunch,30,crunch,6
kneeling_oblique_cable_crunch,31,crunch,6
knees_to_elbow,32,crunch,6
leg_extensions,33,crunch,6
weighted_leg_extensions,34,crunch,6
leg_levers,35,crunch,6
mcgill_curl_up,36,crunch,6
weighted_mcgill_curl_up,37,crunch,6
modified_pilates_roll_up_with_ball,38,crunch,6
weighted_modified_pilates_roll_up_with_ball,39,crunch,6
pilates_crunch,40,crunch,6
weighted_pilates_crunch,41,crunch,6
pilates_roll_up_with_ball,42,crunch,6
weighted_pilates_roll_up_with_ball,43,crunch,6
raised_legs_crunch,44,crunch,6
weighted_raised_legs_crunch,45,crunch,6
reverse_crunch,46,crunch,6
weighted_reverse_crunch,47,crunch,6
reverse_crunch_on_a_bench,48,crunch,6
weighted_reverse_crunch_on_a_bench,49,crunch,6
reverse_curl_and_lift,50,crunch,6
weighted_reverse_curl_and_lift,51,crunch,6
rotational_lift,52,crunch,6
weighted_rotational_lift,53,crunch,6
seated_alternating_reverse_crunch,54,crunch,6
weighted_seated_alternating_reverse_crunch,55,crunch,6
seated_leg_u,56,crunch,6
weighted_seated_leg_u,57,crunch,6
side_to_side_crunch_and_weave,58,crunch,6
weighted_side_to_side_crunch_and_weave,59,crunch,6
single_leg_reverse_crunch,60,crunch,6
weighted_single_leg_reverse_crunch,61,crunch,6
skater_crunch_cross,62,crunch,6
weighted_skater_crunch_cross,63,crunch,6
standing_cable_crunch,64,crunch,6
standing_side_crunch,65,crunch,6
step_climb,66,crunch,6
weighted_step_climb,67,crunch,6
swiss_ball_crunch,68,crunch,6
swiss_ball_reverse_crunch,69,crunch,6
weighted_swiss_ball_reverse_crunch,70,crunch,6
swiss_ball_russian_twist,71,crunch,6
weighted_swiss_ball_russian_twist,72,crunch,6
swiss_ball_side_crunch,73,crunch,6
weighted_swiss_ball_side_crunch,74,crunch,6
thoracic_crunches_on_foam_roller,75,crunch,6
weighted_thoracic_crunches_on_foam_roller,76,crunch,6
triceps_crunch,77,crunch,6
weighted_bicycle_crunch,78,crunch,6
weighted_crunch,79,crunch,6
weighted_swiss_ball_crunch,80,crunch,6
toes_to_bar,81,crunch,6
weighted_toes_to_bar,82,crunch,6
crunch,83,crunch,6
straight_leg_crunch_with_ball,84,crunch,6
leg_climb_crunch,86,crunch,6
alternating_dumbbell_biceps_curl,0,curl,7
alternating_dumbbell_biceps_curl_on_swiss_ball,1,curl,7
alternating_incline_dumbbell_biceps_curl,2,curl,7
barbell_biceps_curl,3,curl,7
barbell_reverse_wrist_curl,4,curl,7
barbell_wrist_curl,5,curl,7
behind_the_back_barbell_reverse_wrist_curl,6,curl,7
behind_the_back_one_arm_cable_curl,7,curl,7
cable_biceps_curl,8,curl,7
cable_hammer_curl,9,curl,7
cheating_barbell_biceps_curl,10,curl,7
close_grip_ez_bar_biceps_curl,11,curl,7
cross_body_dumbbell_hammer_curl,12,curl,7
dead_hang_biceps_curl,13,curl,7
decline_hammer_curl,14,curl,7
dumbbell_biceps_curl_with_static_hold,15,curl,7
dumbbell_hammer_curl,16,curl,7
dumbbell_reverse_wrist_curl,17,curl,7
dumbbell_wrist_curl,18,curl,7
ez_bar_preacher_curl,19,curl,7
forward_bend_biceps_curl,20,curl,7
hammer_curl_to_press,21,curl,7
incline_dumbbell_biceps_curl,22,curl,7
incline_offset_thumb_dumbbell_curl,23,curl,7
kettlebell_biceps_curl,24,curl,7
lying_concentration_cable_curl,25,curl,7
one_arm_preacher_curl,26,curl,7
plate_pinch_curl,27,curl,7
preacher_curl_with_cable,28,curl,7
reverse_ez_bar_curl,29,curl,7
reverse_grip_wrist_curl,30,curl,7
reverse_grip_barbell_biceps_curl,31,curl,7
seated_alternating_dumbbell_biceps_curl,32,curl,7
seated_dumbbell_biceps_curl,33,curl,7
seated_reverse_dumbbell_curl,34,curl,7
split_stance_offset_pinky_dumbbell_curl,35,curl,7
standing_alternating_dumbbell_curls,36,curl,7
standing_dumbbell_biceps_curl,37,curl,7
standing_ez_bar_biceps_curl,38,curl,7
static_curl,39,curl,7
swiss_ball_dumbbell_overhead_triceps_extension,40,curl,7
swiss_ball_ez_bar_preacher_curl,41,curl,7
twisting_standing_dumbbell_biceps_curl,42,curl,7
wide_grip_ez_bar_biceps_curl,43,curl,7
one_arm_concentration_curl,44,curl,7
standing_zottman_biceps_curl,45,curl,7
dumbbell_biceps_curl,46,curl,7
drag_curl_wheelchair,47,curl,7
dumbbell_biceps_curl_wheelchair,48,curl,7
bottle_curl,49,curl,7
seated_bottle_curl,50,curl,7
barbell_deadlift,0,deadlift,8
barbell_straight_leg_deadlift,1,deadlift,8
dumbbell_deadlift,2,deadlift,8
dumbbell_single_leg_deadlift_to_row,3,deadlift,8
dumbbell_straight_leg_deadlift,4,deadlift,8
kettlebell_floor_to_shelf,5,deadlift,8
one_arm_one_leg_deadlift,6,deadlift,8
rack_pull,7,deadlift,8
rotational_dumbbell_straight_leg_deadlift,8,deadlift,8
single_arm_deadlift,9,deadlift,8
single_leg_barbell_deadlift,10,deadlift,8
single_leg_barbell_straight_leg_deadlift,11,deadlift,8
single_leg_deadlift_with_barbell,12,deadlift,8
single_leg_rdl_circuit,13,deadlift,8
single_leg_romanian_deadlift_with_dumbbell,14,deadlift,8
sumo_deadlift,15,deadlift,8
sumo_deadlift_high_pull,16,deadlift,8
trap_bar_deadlift,17,deadlift,8
wide_grip_barbell_deadlift,18,deadlift,8
kettlebell_deadlift,20,deadlift,8
kettlebell_sumo_deadlift,21,deadlift,8
romanian_deadlift,23,deadlift,8
single_leg_romanian_deadlift_circuit,24,deadlift,8
straight_leg_deadlift,25,deadlift,8
cable_crossover,0,flye,9
decline_dumbbell_flye,1,flye,9
dumbbell_flye,2,flye,9
incline_dumbbell_flye,3,flye,9
kettlebell_flye,4,flye,9
kneeling_rear_flye,5,flye,9
single_arm_standing_cable_reverse_flye,6,flye,9
swiss_ball_dumbbell_flye,7,flye,9
arm_rotations,8,flye,9
hug_a_tree,9,flye,9
face_down_incline_reverse_flye,10,flye,9
incline_reverse_flye,11,flye,9
rear_delt_fly_wheelchair,12,flye,9
barbell_hip_thrust_on_floor,0,hip_raise,10
barbell_hip_thrust_with_bench,1,hip_raise,10
bent_knee_swiss_ball_reverse_hip_raise,2,hip_raise,10
weighted_bent_knee_swiss_ball_reverse_hip_raise,3,hip_raise,10
bridge_with_leg_extension,4,hip_raise,10
weighted_bridge_with_leg_extension,5,hip_raise,10
clam_bridge,6,hip_raise,10
front_kick_tabletop,7,hip_raise,10
weighted_front_kick_tabletop,8,hip_raise,10
hip_extension_and_cross,9,hip_raise,10
weighted_hip_extension_and_cross,10,hip_raise,10
hip_raise,11,hip_raise,10
weighted_hip_raise,12,hip_raise,10
hip_raise_with_feet_on_swiss_ball,13,hip_raise,10
weighted_hip_raise_with_feet_on_swiss_ball,14,hip_raise,10
hip_raise_with_head_on_bosu_ball,15,hip_raise,10
weighted_hip_raise_with_head_on_bosu_ball,16,hip_raise,10
hip_raise_with_head_on_swiss_ball,17,hip_raise,10
weighted_hip_raise_with_head_on_swiss_ball,18,hip_raise,10
hip_raise_with_knee_squeeze,19,hip_raise,10
weighted_hip_raise_with_knee_squeeze,20,hip_raise,10
incline_rear_leg_extension,21,hip_raise,10
weighted_incline_rear_leg_extension,22,hip_raise,10
kettlebell_swing,23,hip_raise,10
marching_hip_raise,24,hip_raise,10
weighted_marching_hip_raise,25,hip_raise,10
marching_hip_raise_with_feet_on_a_swiss_ball,26,hip_raise,10
weighted_marching_hip_raise_with_feet_on_a_swiss_ball,27,hip_raise,10
reverse_hip_raise,28,hip_raise,10
weighted_reverse_hip_raise,29,hip_raise,10
single_leg_hip_raise,30,hip_raise,10
weighted_single_leg_hip_raise,31,hip_raise,10
single_leg_hip_raise_with_foot_on_bench,32,hip_raise,10
weighted_single_leg_hip_raise_with_foot_on_bench,33,hip_raise,10
single_leg_hip_raise_with_foot_on_bosu_ball,34,hip_raise,10
weighted_single_leg_hip_raise_with_foot_on_bosu_ball,35,hip_raise,10
single_leg_hip_raise_with_foot_on_foam_roller,36,hip_raise,10
weighted_single_leg_hip_raise_with_foot_on_foam_roller,37,hip_raise,10
single_leg_hip_raise_with_foot_on_medicine_ball,38,hip_raise,10
weighted_single_leg_hip_raise_with_foot_on_medicine_ball,39,hip_raise,10
single_leg_hip_raise_with_head_on_bosu_ball,40,hip_raise,10
weighted_single_leg_hip_raise_with_head_on_bosu_ball,41,hip_raise,10
weighted_clam_bridge,42,hip_raise,10
single_leg_swiss_ball_hip_raise_and_leg_curl,43,hip_raise,10
clams,44,hip_raise,10
inner_thigh_circles,45,hip_raise,10
inner_thigh_side_lift,46,hip_raise,10
leg_circles,47,hip_raise,10
leg_lift,48,hip_raise,10
leg_lift_in_external_rotation,49,hip_raise,10
band_side_lying_leg_raise,0,hip_stability,11
dead_bug,1,hip_stability,11
weighted_dead_bug,2,hip_stability,11
external_hip_raise,3,hip_stability,11
weighted_external_hip_raise,4,hip_stability,11
fire_hydrant_kicks,5,hip_stability,11
weighted_fire_hydrant_kicks,6,hip_stability,11
hip_circles,7,hip_stability,11
weighted_hip_circles,8,hip_stability,11
inner_thigh_lift,9,hip_stability,11
weighted_inner_thigh_lift,10,hip_stability,11
lateral_walks_with_band_at_ankles,11,hip_stability,11
pretzel_side_kick,12,hip_stability,11
weighted_pretzel_side_kick,13,hip_stability,11
prone_hip_internal_rotation,14,hip_stability,11
weighted_prone_hip_internal_rotation,15,hip_stability,11
quadruped,16,hip_stability,11
quadruped_hip_extension,17,hip_stability,11
weighted_quadruped_hip_extension,18,hip_stability,11
quadruped_with_leg_lift,19,hip_stability,11
weighted_quadruped_with_leg_lift,20,hip_stability,11
side_lying_leg_raise,21,hip_stability,11
weighted_side_lying_leg_raise,22,hip_stability,11
sliding_hip_adduction,23,hip_stability,11
weighted_sliding_hip_adduction,24,hip_stability,11
standing_adduction,25,hip_stability,11
weighted_standing_adduction,26,hip_stability,11
standing_cable_hip_abduction,27,hip_stability,11
standing_hip_abduction,28,hip_stability,11
weighted_standing_hip_abduction,29,hip_stability,11
standing_rear_leg_raise,30,hip_stability,11
weighted_standing_rear_leg_raise,31,hip_stability,11
supine_hip_internal_rotation,32,hip_stability,11
weighted_supine_hip_internal_rotation,33,hip_stability,11
lying_abduction_stretch,34,hip_stability,11
single_arm_kettlebell_swing,0,hip_swing,12
single_arm_dumbbell_swing,1,hip_swing,12
step_out_swing,2,hip_swing,12
one_arm_swing,3,hip_swing,12
back_extension_with_opposite_arm_and_leg_reach,0,hyperextension,13
weighted_back_extension_with_opposite_arm_and_leg_reach,1,hyperextension,13
base_rotations,2,hyperextension,13
weighted_base_rotations,3,hyperextension,13
bent_knee_reverse_hyperextension,4,hyperextension,13
weighted_bent_knee_reverse_hyperextension,5,hyperextension,13
hollow_hold_and_roll,6,hyperextension,13
weighted_hollow_hold_and_roll,7,hyperextension,13
kicks,8,hyperextension,13
weighted_kicks,9,hyperextension,13
knee_raises,10,hyperextension,13
weighted_knee_raises,11,hyperextension,13
kneeling_superman,12,hyperextension,13
weighted_kneeling_superman,13,hyperextension,13
lat_pull_down_with_row,14,hyperextension,13
medicine_ball_deadlift_to_reach,15,hyperextension,13
one_arm_one_leg_row,16,hyperextension,13
one_arm_row_with_band,17,hyperextension,13
overhead_lunge_with_medicine_ball,18,hyperextension,13
plank_knee_tucks,19,hyperextension,13
weighted_plank_knee_tucks,20,hyperextension,13
side_step,21,hyperextension,13
weighted_side_step,22,hyperextension,13
single_leg_back_extension,23,hyperextension,13
weighted_single_leg_back_extension,24,hyperextension,13
spine_extension,25,hyperextension,13
weighted_spine_extension,26,hyperextension,13
static_back_extension,27,hyperextension,13
weighted_static_back_extension,28,hyperextension,13
superman_from_floor,29,hyperextension,13
weighted_superman_from_floor,30,hyperextension,13
swiss_ball_back_extension,31,hyperextension,13
weighted_swiss_ball_back_extension,32,hyperextension,13
swiss_ball_hyperextension,33,hyperextension,13
weighted_swiss_ball_hyperextension,34,hyperextension,13
swiss_ball_opposite_arm_and_leg_lift,35,hyperextension,13
weighted_swiss_ball_opposite_arm_and_leg_lift,36,hyperextension,13
superman_on_swiss_ball,37,hyperextension,13
cobra,38,hyperextension,13
supine_floor_barre,39,hyperextension,13
45_degree_cable_external_rotation,0,lateral_raise,14
alternating_lateral_raise_with_static_hold,1,lateral_raise,14
bar_muscle_up,2,lateral_raise,14
bent_over_lateral_raise,3,lateral_raise,14
cable_diagonal_raise,4,lateral_raise,14
cable_front_raise,5,lateral_raise,14
calorie_row,6,lateral_raise,14
combo_shoulder_raise,7,lateral_raise,14
dumbbell_diagonal_raise,8,lateral_raise,14
dumbbell_v_raise,9,lateral_raise,14
front_raise,10,lateral_raise,14
leaning_dumbbell_lateral_raise,11,lateral_raise,14
lying_dumbbell_raise,12,lateral_raise,14
muscle_up,13,lateral_raise,14
one_arm_cable_lateral_raise,14,lateral_raise,14
overhand_grip_rear_lateral_raise,15,lateral_raise,14
plate_raises,16,lateral_raise,14
ring_dip,17,lateral_raise,14
weighted_ring_dip,18,lateral_raise,14
ring_muscle_up,19,lateral_raise,14
weighted_ring_muscle_up,20,lateral_raise,14
rope_climb,21,lateral_raise,14
weighted_rope_climb,22,lateral_raise,14
scaption,23,lateral_raise,14
seated_lateral_raise,24,lateral_raise,14
seated_rear_lateral_raise,25,lateral_raise,14
side_lying_lateral_raise,26,lateral_raise,14
standing_lift,27,lateral_raise,14
suspended_row,28,lateral_raise,14
underhand_grip_rear_lateral_raise,29,lateral_raise,14
wall_slide,30,lateral_raise,14
weighted_wall_slide,31,lateral_raise,14
arm_circles,32,lateral_raise,14
shaving_the_head,33,lateral_raise,14
dumbbell_lateral_raise,34,lateral_raise,14
ring_dip_kipping,36,lateral_raise,14
wall_walk,37,lateral_raise,14
dumbbell_front_raise_wheelchair,38,lateral_raise,14
dumbbell_lateral_raise_wheelchair,39,lateral_raise,14
pole_double_arm_overhead_and_forward_wheelchair,40,lateral_raise,14
pole_straight_arm_overhead_wheelchair,41,lateral_raise,14
leg_curl,0,leg_curl,15
weighted_leg_curl,1,leg_curl,15
good_morning,2,leg_curl,15
seated_barbell_good_morning,3,leg_curl,15
single_leg_barbell_good_morning,4,leg_curl,15
single_leg_sliding_leg_curl,5,leg_curl,15
sliding_leg_curl,6,leg_curl,15
split_barbell_good_morning,7,leg_curl,15
split_stance_extension,8,leg_curl,15
staggered_stance_good_morning,9,leg_curl,15
swiss_ball_hip_raise_and_leg_curl,10,leg_curl,15
zercher_good_morning,11,leg_curl,15
band_good_morning,12,leg_curl,15
bar_good_morning,13,leg_curl,15
hanging_knee_raise,0,leg_raise,16
hanging_leg_raise,1,leg_raise,16
weighted_hanging_leg_raise,2,leg_raise,16
hanging_single_leg_raise,3,leg_raise,16
weighted_hanging_single_leg_raise,4,leg_raise,16
kettlebell_leg_raises,5,leg_raise,16
leg_lowering_drill,6,leg_raise,16
weighted_leg_lowering_drill,7,leg_raise,16
lying_straight_leg_raise,8,leg_raise,16
weighted_lying_straight_leg_raise,9,leg_raise,16
medicine_ball_leg_drops,10,leg_raise,16
quadruped_leg_raise,11,leg_raise,16
weighted_quadruped_leg_raise,12,leg_raise,16
reverse_leg_raise,13,leg_raise,16
weighted_reverse_leg_raise,14,leg_raise,16
reverse_leg_raise_on_swiss_ball,15,leg_raise,16
weighted_reverse_leg_raise_on_swiss_ball,16,leg_raise,16
single_leg_lowering_drill,17,leg_raise,16
